PropertyClass,PropertyZone,PropertyFrontage,PropertySize,Street,Alley,PropertyShape,Elevation,Amenities,Orientation,Grade,Neighborhood,Condition1,Condition2,BldgType,PropertyStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Roof1Material,Roof2Material,ExteriorCladdingType,ExteriorCladdingArea,ExterQual,ExterCond,PropertyFooting,BsmntFinish,BsmntMaintenance,BsmntVisibility,BsmntFinRat1,BsmntFinSty1,BsmntFinQual1,BsmtFinSF2,BsmtUnfSF,BsmntSqFtage,Heating,HeatingEfficiency,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,Bath1,Bath2,BedroomUpLev,KitchenUpLev,KitchenQual,CntRmsUpLev,Functional,CntFireplaces,QualFireplace,BasementType,BasementYrBlt,BasementFinish,BasementCars,BasementSqFootage,BasementQual,BasementCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,BoundaryFeatures,AddFeatures,AddVal,SaleMon,SaleYr,SaleType,SaleCondn,PropPrice,TotalSF,TotalBathrooms,PropertyAge,RemodAge,IsRemodeled,TotalPorchSF,HasPool,HasGarage,HasFireplace
75,RM,90.0,22950,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,2.5Fin,10,9,1892,1993,Gable,WdShngl,Wd Sdng,Wd Sdng,None,0.0,4,4,BrkTil,TA,TA,Mn,Unf,0,Unf,0,1107,1107,GasA,5,Y,SBrkr,1518,1518,572,3608,0,0,2,1,4,1,5,12,Typ,2,3,Detchd,1993.0,Unf,3,840,5,3,Y,0,260,0,0,410,0,0,GdPrv,None,0,6,2006,WD,Normal,475000,4143,2.5,114,13,1,670,0,1,1
80,RL,73.0,9947,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,7,5,1990,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,Gd,TA,Av,GLQ,611,Unf,0,577,1188,GasA,5,Y,SBrkr,1217,0,0,1217,1,0,2,0,3,1,4,6,Typ,0,0,Attchd,1990.0,Unf,2,497,3,3,Y,168,27,0,0,0,0,0,GdPrv,None,0,6,2009,WD,Normal,173000,2405,3.0,19,18,1,195,0,1,0
50,RL,60.0,10410,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1916,1987,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,Fa,TA,No,Unf,0,Unf,0,660,660,GasA,5,Y,SBrkr,808,704,144,1656,0,0,2,1,3,1,3,8,Min2,0,0,Detchd,1916.0,Unf,1,180,2,2,N,0,0,0,140,0,0,0,MnPrv,None,0,8,2009,WD,Normal,135000,2172,2.5,93,22,1,140,0,1,0
90,RL,64.0,7018,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,SFoyer,5,5,1979,1979,Gable,CompShg,Plywood,Plywood,Stone,275.0,3,3,CBlock,Gd,TA,Av,GLQ,1086,Unf,0,0,1086,GasA,3,Y,SBrkr,1224,0,0,1224,2,0,0,2,2,2,3,6,Typ,2,3,Detchd,1979.0,Unf,2,528,3,3,Y,120,0,0,0,0,0,0,None,None,0,6,2009,WD,Alloca,153337,2310,3.0,30,30,0,120,0,1,1
120,RL,41.0,4923,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2002,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,Ex,TA,Av,GLQ,1153,Unf,0,440,1593,GasA,5,Y,SBrkr,1593,0,0,1593,1,0,1,1,0,1,5,5,Typ,1,4,Attchd,2001.0,Fin,2,682,3,3,Y,0,120,0,0,224,0,0,None,None,0,8,2008,WD,Normal,286000,3186,2.5,7,6,1,344,0,1,1
70,RL,70.0,10570,Pave,None,Reg,Bnk,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,8,1932,1994,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,3,CBlock,Gd,Gd,No,Rec,297,Unf,0,556,853,GasA,3,Y,SBrkr,1549,1178,0,2727,0,0,2,1,3,1,4,10,Maj1,2,3,Detchd,1932.0,Unf,2,440,3,3,Y,0,74,0,0,0,0,0,None,None,0,12,2007,WD,Normal,315000,3580,2.5,75,13,1,74,0,1,1
60,RL,73.0,7472,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,2Story,7,9,1972,2004,Gable,CompShg,HdBoard,HdBoard,BrkFace,138.0,3,3,CBlock,TA,TA,No,ALQ,626,Unf,0,99,725,GasA,4,Y,SBrkr,725,754,0,1479,1,0,1,1,4,1,4,7,Typ,0,0,Attchd,1972.0,Fin,2,484,3,3,Y,0,32,0,0,0,0,0,None,None,0,6,2007,WD,Normal,184000,2204,2.5,35,3,1,32,0,1,0
20,RL,68.0,9017,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,Gd,TA,Av,GLQ,560,Unf,0,871,1431,GasA,5,Y,SBrkr,1431,0,0,1431,1,0,2,0,3,1,4,6,Typ,0,0,Attchd,1999.0,Fin,2,666,3,3,Y,0,35,0,0,0,0,0,None,None,0,9,2009,WD,Normal,192000,2862,3.0,10,10,0,35,0,1,0
160,RM,24.0,2522,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,4,3,PConc,Gd,TA,No,Unf,0,Unf,0,970,970,GasA,5,Y,SBrkr,970,739,0,1709,0,0,2,0,3,1,4,7,Maj1,0,0,Detchd,2004.0,Unf,2,380,3,3,Y,0,40,0,0,0,0,0,None,None,0,5,2006,WD,Normal,130000,2679,2.0,2,2,0,40,0,1,0
20,RL,60.0,7180,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,TA,TA,Av,ALQ,390,Unf,0,474,864,GasA,3,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,3,5,Typ,0,0,Detchd,1989.0,Unf,1,352,3,3,Y,0,0,0,0,0,0,0,None,None,0,5,2008,WD,Normal,127000,1728,1.0,36,36,0,0,0,1,0
160,RL,24.0,2280,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1976,1976,Gable,CompShg,Plywood,Brk Cmn,None,0.0,3,3,CBlock,Gd,TA,No,ALQ,566,Unf,0,289,855,GasA,3,Y,SBrkr,855,601,0,1456,0,0,2,1,3,1,3,7,Typ,1,3,Attchd,1976.0,Unf,2,440,3,3,Y,87,0,0,0,0,0,0,None,None,0,7,2009,WD,Normal,148500,2311,2.5,33,33,0,87,0,1,1
20,RL,79.0,9416,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2007,2007,Hip,CompShg,CemntBd,CmentBd,Stone,205.0,5,3,PConc,Ex,TA,No,GLQ,1126,Unf,0,600,1726,GasA,5,Y,SBrkr,1726,0,0,1726,1,0,2,0,3,1,5,8,Typ,1,4,Attchd,2007.0,Fin,3,786,3,3,Y,171,138,0,0,266,0,0,None,None,0,9,2007,New,Partial,311872,3452,3.0,0,0,0,575,0,1,1
75,RL,174.0,25419,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,2Story,8,4,1918,1990,Gable,CompShg,Stucco,Stucco,None,0.0,4,4,PConc,TA,TA,No,GLQ,1036,LwQ,184,140,1360,GasA,4,Y,SBrkr,1360,1360,392,3112,1,1,2,0,4,1,4,8,Typ,1,5,Detchd,1918.0,Unf,2,795,3,3,Y,0,16,552,0,0,512,5,GdPrv,None,0,3,2006,WD,Abnorml,235000,4080,3.5,88,16,1,568,1,1,1
75,RM,92.0,5520,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2.5Fin,6,6,1912,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,TA,TA,No,Unf,0,Unf,0,755,755,GasA,5,Y,SBrkr,929,929,371,2229,0,0,1,0,5,1,3,8,Typ,0,0,None,0.0,None,0,0,0,0,Y,0,198,30,0,0,0,0,MnPrv,None,0,7,2009,WD,Abnorml,104000,2613,1.0,97,59,1,228,0,0,0
20,RL,76.0,9591,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,262.0,4,3,PConc,Ex,TA,Av,GLQ,1088,Unf,0,625,1713,GasA,5,Y,SBrkr,1713,0,0,1713,1,0,2,0,3,1,5,7,Typ,1,4,Attchd,2004.0,Fin,3,856,3,3,Y,0,26,0,0,170,0,0,None,None,0,1,2009,WD,Normal,274900,3426,3.0,5,4,1,196,0,1,1
20,RM,80.0,8546,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,Gd,TA,No,Unf,0,Unf,0,1121,1121,GasA,5,Y,SBrkr,1121,0,0,1121,0,0,2,0,2,1,3,5,Typ,0,0,Attchd,2003.0,RFn,2,440,3,3,Y,132,64,0,0,0,0,0,None,None,0,3,2010,WD,Normal,140000,2242,2.0,7,6,1,196,0,1,0
20,RL,75.0,10125,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,6,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,TA,TA,No,ALQ,641,LwQ,279,276,1196,GasA,3,Y,SBrkr,1279,0,0,1279,0,1,2,0,3,1,3,6,Typ,2,2,Detchd,1980.0,Unf,2,473,3,3,Y,238,83,0,0,0,0,0,MnPrv,None,0,2,2008,WD,Normal,171500,2475,2.5,31,31,0,321,0,1,1
50,RL,50.0,7000,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,6,6,1924,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,BrkTil,Fa,TA,No,LwQ,617,Unf,0,0,617,GasA,4,Y,SBrkr,865,445,0,1310,0,0,2,0,2,1,3,6,Min1,0,0,Attchd,1924.0,Unf,1,398,3,3,Y,0,0,126,0,0,0,0,None,None,0,5,2006,COD,Normal,112000,1927,2.0,82,56,1,126,0,1,0
120,RM,70.0,4438,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,205.0,4,3,PConc,Gd,TA,Av,GLQ,662,Unf,0,186,848,GasA,5,Y,SBrkr,848,0,0,848,1,0,1,0,1,1,4,3,Typ,1,4,Attchd,2004.0,RFn,2,420,3,3,Y,149,0,0,0,0,0,0,None,None,0,1,2008,WD,Normal,149000,1696,2.0,4,4,0,149,0,1,1
50,RM,50.0,3500,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1947,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,CBlock,TA,TA,No,LwQ,312,Unf,0,408,720,GasA,3,Y,SBrkr,720,564,0,1284,0,0,1,1,2,1,3,5,Typ,0,0,Detchd,1948.0,Unf,1,240,3,3,Y,0,35,0,0,0,0,0,MnWw,None,0,4,2009,WD,Normal,110000,2004,1.5,62,59,1,35,0,1,0
20,RL,99.0,11851,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,Gd,TA,No,Unf,0,Unf,0,1424,1424,GasA,5,Y,SBrkr,1442,0,0,1442,0,0,2,0,3,1,3,5,Typ,0,0,Attchd,1990.0,RFn,2,500,3,3,Y,0,34,0,508,0,0,0,None,None,0,5,2009,WD,Normal,180500,2866,2.0,19,19,0,542,0,1,0
20,RL,40.0,13673,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,5,1962,1962,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,TA,TA,No,Unf,0,Unf,0,1140,1140,GasA,3,Y,SBrkr,1696,0,0,1696,0,0,1,1,3,1,3,8,Min2,1,3,Attchd,1962.0,RFn,1,349,3,3,Y,0,30,0,0,0,0,0,None,None,0,3,2007,WD,Normal,143900,2836,1.5,45,45,0,30,0,1,1
20,RL,73.0,12493,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1960,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,TA,TA,No,ALQ,419,Rec,306,375,1100,GasA,3,Y,SBrkr,1100,0,0,1100,1,0,1,0,3,1,3,6,Typ,1,1,Attchd,1960.0,RFn,1,312,3,3,Y,355,0,0,0,0,0,0,GdWo,None,0,4,2008,WD,Normal,141000,2200,2.0,48,48,0,355,0,1,1
60,RL,66.5,14364,Pave,None,IR1,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,2Story,7,5,1988,1989,Gable,CompShg,Plywood,Plywood,BrkFace,128.0,4,3,CBlock,Gd,TA,Gd,GLQ,1065,Unf,0,92,1157,GasA,5,Y,SBrkr,1180,882,0,2062,1,0,2,1,3,1,3,7,Typ,1,4,Attchd,1988.0,Fin,2,454,3,3,Y,60,55,0,0,154,0,0,None,None,0,4,2007,WD,Normal,277000,3219,3.5,19,18,1,269,0,1,1
20,RL,75.0,8250,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1964,1964,Hip,CompShg,HdBoard,HdBoard,Stone,260.0,3,3,CBlock,Gd,TA,No,Rec,787,Unf,0,305,1092,GasA,5,Y,SBrkr,1092,0,0,1092,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,1964.0,RFn,2,504,3,4,Y,0,0,0,0,0,0,0,MnPrv,None,0,7,2008,WD,Normal,145000,2184,2.0,44,44,0,0,0,1,0
30,RL,67.0,5604,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1925,1950,Gable,CompShg,Stucco,Stucco,None,0.0,3,3,CBlock,TA,TA,No,Rec,468,Unf,0,396,864,GasA,3,N,FuseA,864,0,0,864,1,0,1,0,2,1,3,5,Typ,0,0,None,0.0,None,0,0,0,0,Y,0,0,96,0,0,0,0,None,None,0,4,2008,WD,Normal,98000,1728,2.0,83,58,1,96,0,0,0
20,RL,83.0,10420,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,Gd,TA,Mn,GLQ,36,Unf,0,1176,1212,GasA,5,Y,SBrkr,1212,0,0,1212,0,0,2,0,3,1,4,6,Typ,0,0,Attchd,2009.0,RFn,2,460,3,3,Y,100,22,0,0,0,0,0,None,None,0,3,2010,WD,Normal,186000,2424,2.0,1,1,0,122,0,1,0
60,FV,72.0,8640,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,Gd,TA,No,GLQ,822,Unf,0,78,900,GasA,5,Y,SBrkr,932,920,0,1852,1,0,2,1,3,1,4,7,Typ,1,3,Attchd,2009.0,RFn,2,644,3,3,Y,168,108,0,0,0,0,0,None,None,0,7,2009,New,Partial,252678,2752,3.5,0,0,0,276,0,1,1
20,RL,43.0,13568,Pave,None,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,Gd,TA,No,ALQ,716,Unf,0,274,990,GasA,5,Y,SBrkr,990,0,0,990,0,1,1,0,3,1,3,5,Typ,0,0,Attchd,1996.0,Unf,2,576,3,3,Y,224,0,0,0,0,0,0,None,None,0,7,2006,WD,Normal,156000,1980,1.5,11,11,0,224,0,1,0
60,RL,70.0,10900,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,7,1977,1977,Gable,CompShg,HdBoard,HdBoard,BrkFace,153.0,3,3,CBlock,Gd,TA,No,GLQ,378,Unf,0,311,689,GasA,5,Y,SBrkr,689,703,0,1392,0,0,1,1,3,1,3,6,Typ,0,0,Attchd,1977.0,Fin,1,299,3,3,Y,0,36,0,0,0,0,0,MnPrv,Shed,450,3,2010,WD,Normal,161750,2081,1.5,33,33,0,36,0,1,0
20,RL,72.0,10011,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1996,Gable,CompShg,HdBoard,HdBoard,BrkFace,64.0,3,3,CBlock,TA,TA,No,BLQ,360,Unf,0,710,1070,GasA,3,Y,SBrkr,1236,0,0,1236,0,1,1,0,2,1,4,6,Min1,1,2,Attchd,1957.0,Unf,1,447,3,3,Y,0,0,0,0,0,0,0,MnPrv,None,0,5,2006,WD,Normal,134450,2306,1.5,49,10,1,0,0,1,1
20,RL,65.0,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,266.0,4,3,PConc,Gd,TA,Mn,GLQ,946,Unf,0,490,1436,GasA,5,Y,SBrkr,1436,0,0,1436,1,0,2,0,3,1,4,8,Typ,0,0,Attchd,2004.0,Unf,2,484,3,3,Y,139,98,0,0,0,0,0,None,None,0,4,2008,WD,Normal,210000,2872,3.0,4,4,0,237,0,1,0
70,RM,57.0,9906,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,4,1925,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,TA,TA,No,Unf,0,Unf,0,686,686,GasA,2,N,SBrkr,810,518,0,1328,0,0,1,0,3,1,3,8,Typ,0,0,Detchd,1940.0,Unf,1,210,3,3,Y,0,172,60,0,0,0,0,None,None,0,9,2006,WD,Family,107000,2014,1.0,81,56,1,232,0,1,0
50,RL,74.0,15660,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,9,1939,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,312.0,4,4,CBlock,TA,TA,No,BLQ,341,Unf,0,457,798,GasA,5,Y,SBrkr,1137,817,0,1954,0,1,1,1,3,1,4,8,Typ,2,3,Attchd,1939.0,Unf,2,431,3,3,Y,0,119,150,0,0,0,0,None,None,0,5,2008,WD,Normal,311500,2752,2.0,69,2,1,269,0,1,1
120,RL,43.0,3010,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,4,3,PConc,Gd,TA,Av,GLQ,16,Unf,0,1232,1248,GasA,5,Y,SBrkr,1248,0,0,1248,0,0,2,0,2,1,4,5,Typ,0,0,Attchd,2005.0,Fin,2,438,3,3,Y,108,0,0,0,0,0,0,None,None,0,3,2006,New,Partial,167240,2496,2.0,1,0,1,108,0,1,0
20,RL,73.0,8990,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,Gd,TA,Mn,Unf,0,Unf,0,1498,1498,GasA,5,Y,SBrkr,1498,0,0,1498,0,0,2,0,2,1,4,5,Typ,0,0,Attchd,2006.0,RFn,2,675,3,3,Y,351,33,0,0,0,0,0,None,None,0,4,2006,New,Partial,204900,2996,2.0,0,0,0,384,0,1,0
60,RL,65.0,8068,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,Gd,TA,No,Unf,0,Unf,0,1010,1010,GasA,5,Y,SBrkr,1010,1257,0,2267,0,0,2,1,4,1,4,8,Typ,1,3,BuiltIn,2002.0,RFn,2,390,3,3,Y,120,46,0,0,0,0,0,None,None,0,12,2009,ConLI,Normal,200000,3277,2.5,7,7,0,166,0,1,1
60,RL,85.0,11475,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,6,6,1975,1975,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,Gd,TA,No,ALQ,550,Unf,0,163,713,GasA,3,Y,SBrkr,811,741,0,1552,1,0,2,1,3,1,3,6,Typ,1,3,Attchd,1975.0,RFn,2,434,3,3,Y,209,208,0,0,0,0,0,MnPrv,None,0,2,2006,WD,Normal,179900,2265,3.5,31,31,0,417,0,1,1
20,RL,70.0,10500,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,TA,TA,No,ALQ,524,LwQ,180,160,864,GasA,4,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,3,4,Typ,0,0,Detchd,1989.0,Unf,2,576,3,3,Y,216,0,0,0,0,0,0,None,None,0,3,2009,WD,Abnorml,97000,1728,1.0,38,38,0,216,0,1,0
20,RL,103.0,13472,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2003,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,922.0,5,3,PConc,Ex,TA,Gd,GLQ,56,Unf,0,2336,2392,GasA,5,Y,SBrkr,2392,0,0,2392,0,0,2,0,3,1,5,8,Typ,1,5,Attchd,2003.0,Fin,3,968,3,3,Y,248,105,0,0,0,0,0,None,None,0,6,2009,WD,Normal,386250,4784,2.0,6,6,0,353,0,1,1
160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,142.0,3,3,CBlock,TA,TA,No,Unf,0,Unf,0,630,630,GasA,3,Y,SBrkr,630,672,0,1302,0,0,2,1,3,1,3,6,Typ,0,0,Detchd,1991.0,Unf,1,280,3,3,Y,0,0,0,0,0,0,0,None,None,0,5,2009,COD,Abnorml,112000,1932,2.5,38,38,0,0,0,1,0
60,RL,82.0,9950,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,290.0,4,3,PConc,Gd,TA,No,GLQ,565,Unf,0,638,1203,GasA,5,Y,SBrkr,1214,1306,0,2520,0,0,2,1,4,1,4,9,Typ,1,3,Attchd,1995.0,RFn,3,721,3,3,Y,224,114,0,0,0,0,0,None,None,0,6,2007,WD,Abnorml,290000,3723,2.5,12,12,0,338,0,1,1
160,RM,21.0,1869,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,6,1970,1970,Gable,CompShg,HdBoard,HdBoard,BrkFace,127.0,3,3,CBlock,TA,TA,No,Rec,321,Unf,0,162,483,GasA,3,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,3,5,Typ,0,0,Detchd,1987.0,Unf,1,280,3,3,Y,0,0,0,0,0,0,0,None,None,0,9,2008,WD,Normal,106000,1470,1.5,38,38,0,0,0,1,0
20,RL,70.0,8521,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,5,1967,1967,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,TA,TA,No,ALQ,842,Unf,0,70,912,GasA,3,Y,SBrkr,912,0,0,912,0,0,1,0,3,1,3,5,Typ,1,2,Detchd,1974.0,Unf,1,336,3,3,Y,0,0,0,0,0,0,0,MnPrv,None,0,5,2010,WD,Normal,125000,1824,1.0,43,43,0,0,0,1,1
120,RL,43.0,3182,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,4,3,PConc,Gd,TA,Av,GLQ,16,Unf,0,1357,1373,GasA,5,Y,SBrkr,1555,0,0,1555,0,0,2,0,2,1,4,7,Typ,1,3,Attchd,2005.0,Fin,2,430,3,3,Y,143,20,0,0,0,0,0,None,None,0,5,2009,WD,Normal,192500,2928,2.0,4,3,1,163,0,1,1
20,RL,73.0,8760,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,220.0,3,3,CBlock,TA,TA,No,Unf,0,Unf,0,1194,1194,GasA,3,Y,SBrkr,1194,0,0,1194,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,1959.0,RFn,1,312,3,3,Y,0,0,120,0,0,0,0,None,None,0,4,2010,WD,Normal,148000,2388,2.0,51,51,0,120,0,1,0
60,RL,174.0,15138,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1995,1996,Gable,CompShg,VinylSd,VinylSd,BrkFace,506.0,4,3,PConc,Gd,TA,No,GLQ,689,Unf,0,773,1462,GasA,5,Y,SBrkr,1490,1304,0,2794,1,0,2,1,4,1,5,9,Typ,1,3,Attchd,1995.0,Fin,3,810,3,3,Y,0,146,202,0,0,0,0,None,None,0,7,2009,WD,Normal,403000,4256,3.5,14,13,1,348,0,1,1
160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,297.0,3,3,CBlock,TA,TA,No,Unf,0,Unf,0,483,483,GasA,3,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,3,5,Typ,1,1,Attchd,1972.0,Unf,1,288,3,3,Y,0,0,0,0,0,0,0,None,None,0,6,2006,WD,Normal,94500,1470,1.5,34,34,0,0,0,1,1
20,RL,75.0,10650,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1976,1976,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,TA,Gd,Av,LwQ,182,ALQ,712,0,894,GasA,3,Y,SBrkr,894,0,0,894,1,0,1,0,3,1,3,5,Typ,0,0,Attchd,1976.0,Unf,1,308,3,3,Y,365,0,0,0,0,0,0,MnPrv,None,0,2,2010,WD,Normal,128200,1788,2.0,34,34,0,365,0,1,0
